"(43.495766, -80.52778)","(43.496095, -80.524909)","(43.49516, -80.524826)","(43.494998, -80.527072)"
"(43.4982, -80.524452)","(43.497621, -80.525088)","(43.496675, -80.524028)","(43.497254, -80.523446)"
"(43.504435, -80.534556)","(43.503771, -80.534935)","(43.502976, -80.534281)","(43.503401, -80.533365)"
"(43.464236, -80.523939)","(43.464482, -80.523869)","(43.464553, -80.523183)","(43.464303, -80.52313)"
"(43.463883, -80.519793)","(43.463668, -80.519393)","(43.464509, -80.5191)","(43.46438, -80.518615)"
"(43.461641, -80.522792)","(43.461895, -80.522183)","(43.46237, -80.523378)","(43.462702, -80.522582)"
"(43.465385, -80.527146)","(43.464997, -80.527137)","(43.465387, -80.526506)","(43.465015, -80.526736)"
"(43.465111, -80.520909)","(43.464752, -80.520848)","(43.464818, -80.520272)","(43.465171, -80.520375)"
"(43.464394, -80.527087)","(43.464319, -80.527242)","(43.464034, -80.526859)","(43.464177, -80.526343)"
"(43.46372, -80.504123)","(43.462751, -80.503482)","(43.463236, -80.502071)","(43.463987, -80.503357)"
"(43.463751, -80.502495)","(43.463373, -80.501864)","(43.463529, -80.501426)","(43.463967, -80.501893)"
"(43.470704, -80.514375)","(43.469473, -80.516179)","(43.46906, -80.515877)","(43.470059, -80.513522)"
"(43.498743, -80.526403)","(43.498259, -80.525038)","(43.499426, -80.526362)","(43.498553, -80.524529)"
"(43.500013, -80.528558)","(43.500001, -80.528118)","(43.498195, -80.529169)","(43.498191, -80.528322)"
"(43.497366, -80.529019)","(43.497347, -80.528327)","(43.496078, -80.52881)","(43.496024, -80.528322)"
"(43.517386, -80.494412)","(43.517262, -80.494452)","(43.516987, -80.493564)","(43.517105, -80.493419)"
"(43.518255, -80.502704)","(43.517849, -80.502452)","(43.518092, -80.500494)","(43.519164, -80.500566)"
"(43.439943, -80.565112)","(43.439164, -80.564319)","(43.439679, -80.563367)","(43.440045, -80.563762)"
"(43.465812, -80.525633)","(43.465384, -80.525451)","(43.465544, -80.524928)","(43.465953, -80.525266)"
"(43.517632, -80.493981)","(43.517488, -80.494057)","(43.516971, -80.492691)","(43.517168, -80.49251)"
"(43.463665, -80.521261)","(43.463293, -80.521191)","(43.463339, -80.520806)","(43.463719, -80.520892)"
