uid,type,expiry_date
6,staff,2025-01-29 00:00:00
7,staff,2024-08-30 00:00:00
8,student,2025-07-13 00:00:00
9,student,2024-12-19 00:00:00
10,student,2025-03-17 00:00:00
11,staff,2025-06-21 00:00:00
12,student,2025-02-11 00:00:00
13,staff,2025-03-25 00:00:00
14,staff,2025-07-22 00:00:00
15,student,2024-12-05 00:00:00
18,student,2025-04-25 00:00:00
19,student,2025-02-15 00:00:00
21,student,2024-07-12 00:00:00
23,student,2024-09-07 00:00:00
26,staff,2023-09-21 00:00:00
28,student,2023-12-21 00:00:00
30,staff,2024-09-19 00:00:00
34,staff,2023-09-27 00:00:00
35,student,2025-03-08 00:00:00
36,student,2025-01-13 00:00:00
37,student,2023-09-07 00:00:00
38,student,2024-08-08 00:00:00
39,staff,2025-01-20 00:00:00
40,staff,2025-04-15 00:00:00
42,student,2025-05-29 00:00:00
44,student,2024-02-10 00:00:00
45,staff,2024-08-25 00:00:00
46,staff,2024-12-22 00:00:00
48,staff,2024-12-22 00:00:00
50,staff,2024-05-07 00:00:00
53,student,2023-10-14 00:00:00
54,student,2024-07-30 00:00:00
55,staff,2024-09-24 00:00:00
57,student,2025-04-14 00:00:00
59,student,2024-09-21 00:00:00
60,student,2023-09-22 00:00:00
61,student,2024-01-12 00:00:00
63,student,2025-05-16 00:00:00
65,student,2024-11-26 00:00:00
68,student,2023-08-28 00:00:00
69,student,2024-10-10 00:00:00
70,student,2024-03-07 00:00:00
71,student,2025-02-01 00:00:00
72,student,2024-12-30 00:00:00
74,student,2025-01-13 00:00:00
75,staff,2024-03-04 00:00:00
76,student,2025-06-01 00:00:00
77,student,2024-05-27 00:00:00
78,student,2024-09-22 00:00:00
79,staff,2025-06-05 00:00:00
80,student,2024-10-03 00:00:00
83,staff,2025-05-03 00:00:00
84,student,2025-07-03 00:00:00
85,student,2024-01-28 00:00:00
86,student,2025-06-17 00:00:00
87,student,2024-08-06 00:00:00
88,student,2025-04-07 00:00:00
89,staff,2024-01-28 00:00:00
90,student,2025-07-19 00:00:00
91,staff,2025-06-15 00:00:00
92,student,2025-01-30 00:00:00
93,student,2023-12-09 00:00:00
94,student,2024-09-27 00:00:00
96,student,2024-04-14 00:00:00
97,student,2025-02-02 00:00:00
99,staff,2024-08-25 00:00:00
100,student,2024-11-28 00:00:00
101,student,2024-10-27 00:00:00
102,student,2024-11-22 00:00:00
103,student,2024-08-07 00:00:00
105,staff,2025-01-23 00:00:00
107,student,2025-04-26 00:00:00
108,staff,2024-03-21 00:00:00
109,staff,2024-11-27 00:00:00
110,student,2024-09-29 00:00:00
111,student,2024-12-13 00:00:00
112,student,2025-07-11 00:00:00
113,staff,2025-07-17 00:00:00
114,staff,2025-07-21 00:00:00
117,student,2025-06-15 00:00:00
119,student,2023-08-12 00:00:00
122,staff,2024-12-25 00:00:00
123,staff,2025-01-21 00:00:00
124,staff,2025-02-10 00:00:00
126,student,2024-08-07 00:00:00
127,student,2025-04-07 00:00:00
130,student,2024-11-30 00:00:00
135,student,2025-03-20 00:00:00
137,staff,2025-03-11 00:00:00
139,student,2025-06-28 00:00:00
140,student,2024-07-17 00:00:00
143,staff,2025-04-01 00:00:00
144,student,2025-07-16 00:00:00
146,staff,2025-02-04 00:00:00
147,student,2024-10-15 00:00:00
149,student,2024-09-21 00:00:00
150,student,2024-06-22 00:00:00
151,staff,2025-03-08 00:00:00
152,staff,2025-01-15 00:00:00
154,student,2024-10-21 00:00:00
155,student,2025-06-27 00:00:00
156,student,2024-10-27 00:00:00
157,staff,2024-06-28 00:00:00
161,staff,2024-05-29 00:00:00
163,student,2024-11-14 00:00:00
164,student,2025-04-14 00:00:00
165,staff,2024-11-14 00:00:00
166,staff,2024-08-27 00:00:00
171,student,2025-05-30 00:00:00
172,student,2024-11-07 00:00:00
175,student,2024-09-21 00:00:00
176,student,2024-06-28 00:00:00
181,student,2025-01-05 00:00:00
182,staff,2024-11-02 00:00:00
183,student,2023-09-27 00:00:00
